"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
7.93,0.048,5.347,0.912,33.357,"19-11-08_YC038_probe2",32,0,0,0,0,0,"GoMF",2
7.92,0.047,5.496,1.012,37.323,"19-11-08_YC038_probe2",33,0,0,0,0,0,"GoMF",2
6.42,0.028,4.992,1.228,52.911,"19-11-08_YC038_probe2",330,0,0,0,0,0,"GoMF",3
17.4,0.035,6.222,0.933,44.81,"19-11-08_YC038_probe2",372,0,0,0,0,0,"GoMF",1
11.33,0.03,4.886,0.875,42.236,"19-11-08_YC038_probe2",382,0,0,0,0,0,"GoMF",2
7.9,0.016,3.826,1.189,91.882,"19-11-08_YC038_probe2",389,0,0,0,0,0,"GoMF",3
9.56,0.016,3.595,1.042,84.379,"19-11-08_YC038_probe2",394,0,0,0,0,0,"GoMF",3
6.91,0.064,5.675,1.087,37.781,"19-11-08_YC038_probe2",406,0,0,0,0,0,"GoMF",2
7.35,0.028,4.739,1.129,61.049,"19-11-08_YC038_probe2",411,0,0,0,0,0,"GoMF",3
10.3,0.053,4.124,0.709,13.807,"19-11-08_YC038_probe2",415,0,0,0,0,0,"GoMF",3
13.2,0.008,3.958,1.167,112.142,"19-11-08_YC038_probe2",416,0,0,0,0,0,"GoMF",3
0.37,0.128,3.812,1.308,34.221,"19-11-08_YC038_probe2",417,0,0,0,0,0,"GoMF",4
8.77,0.048,5.529,0.884,25.665,"19-11-08_YC038_probe2",427,0,0,0,0,0,"GoMF",2
10.03,0.05,4.422,0.902,28.935,"19-11-08_YC038_probe2",428,0,0,0,0,0,"GoMF",2
7.19,0.025,4.967,1.194,85.013,"19-11-08_YC038_probe2",43,0,0,0,0,0,"GoMF",3
4.82,0.054,4.688,0.936,21.393,"19-11-08_YC038_probe2",48,0,0,0,0,0,"GoMF",4
10.65,0.023,4.764,0.805,30.177,"19-11-08_YC038_probe2",49,0,0,0,0,0,"GoMF",2
3.05,0.076,3.469,1.121,24.237,"19-11-08_YC038_probe2",541,0,0,0,0,0,"GoMF",3
2.09,0.046,3.011,1.037,40.804,"19-11-08_YC038_probe2",574,0,0,0,0,0,"GoMF",3
8.39,0.022,4.563,1.177,85.734,"19-11-08_YC038_probe2",579,0,0,0,0,0,"GoMF",3
10,0.01,4.229,1.14,98.344,"19-11-08_YC038_probe2",81,0,0,0,0,0,"GoMF",3
8.99,0.016,4.447,0.79,46.087,"19-11-05_YC037_probe1",102,0,0,0,0,0,"GoMF",2
21.19,0.02,5.887,0.943,56.702,"19-11-05_YC037_probe1",108,0,0,0,0,0,"GoMF",1
14.15,0.016,3.55,0.96,73.499,"19-11-05_YC037_probe1",115,0,0,0,0,0,"GoMF",3
7.01,0.059,5.447,1.06,42.812,"19-11-05_YC037_probe1",129,0,0,0,0,0,"GoMF",2
13.95,0.017,5.294,1.125,56.97,"19-11-05_YC037_probe1",273,0,0,0,0,0,"GoMF",2
9.97,0.052,5.675,0.954,34.579,"19-11-05_YC037_probe1",276,0,0,0,0,0,"GoMF",2
20.45,0.013,4.962,1.154,94.137,"19-11-05_YC037_probe1",294,0,0,0,0,0,"GoMF",1
9.93,0.056,5.633,1.09,33.335,"19-11-05_YC037_probe1",295,0,0,0,0,0,"GoMF",2
10.13,0.047,5.719,1.07,43.047,"19-11-05_YC037_probe1",326,0,0,0,0,0,"GoMF",2
19.08,0.019,5.679,1.114,90.155,"19-11-05_YC037_probe1",342,0,0,0,0,0,"GoMF",1
22.89,0.017,5.696,1.149,115.36,"19-11-05_YC037_probe1",382,0,0,0,0,0,"GoMF",1
13.48,0.02,4.715,1.584,97.408,"19-11-05_YC037_probe1",390,0,0,0,0,0,"GoMF",3
9.68,0.047,6.082,1.086,49.334,"19-11-05_YC037_probe1",417,0,0,0,0,0,"GoMF",2
14.47,0.034,5.977,1.11,63.327,"19-11-05_YC037_probe1",440,0,0,0,0,0,"GoMF",2
3.31,0.118,4.945,0.809,8.571,"19-11-05_YC037_probe1",441,0,0,0,0,0,"GoMF",4
14.72,0.016,5.068,1.127,99.907,"19-11-05_YC037_probe1",442,0,0,0,0,0,"GoMF",1
6.93,0.079,1.812,0.917,15.662,"19-11-05_YC037_probe1",68,0,0,0,0,0,"GoMF",3
10.12,0.033,5.445,0.957,43.566,"19-11-05_YC036_probe1",103,0,0,0,0,0,"GoMF",2
12.74,0.039,4.743,0.822,23.656,"19-11-05_YC036_probe1",237,0,0,0,0,0,"GoMF",2
7.15,0.065,4.101,0.988,30.114,"19-11-05_YC036_probe1",28,0,0,0,0,0,"GoMF",3
8.03,0.061,4.812,0.978,29.819,"19-11-05_YC036_probe1",389,0,0,0,0,0,"GoMF",4
10.75,0.048,4.378,0.801,18.332,"19-11-05_YC036_probe1",429,0,0,0,0,0,"GoMF",3
11.26,0.004,2.746,0.89,125.343,"19-11-04_YC037_probe1",186,0,0,0,0,0,"GoMF",3
8.6,0.05,5.661,1.064,41.464,"19-11-04_YC037_probe1",190,0,0,0,0,0,"GoMF",2
9.93,0.038,5.454,1.033,40.816,"19-11-04_YC037_probe1",228,0,0,0,0,0,"GoMF",2
15.72,0.013,3.657,0.894,73.773,"19-11-04_YC037_probe1",232,0,0,0,0,0,"GoMF",3
5.74,0.042,4.507,1.108,42.925,"19-11-04_YC037_probe1",29,0,0,0,0,0,"GoMF",3
35.16,0.011,5.185,1.053,136.901,"19-11-04_YC037_probe1",30,0,0,0,0,0,"GoMF",1
21.67,0.026,5.745,0.935,65.452,"19-11-04_YC037_probe1",36,0,0,0,0,0,"GoMF",1
9.61,0.047,4.197,0.899,27.847,"19-11-04_YC037_probe1",41,0,0,0,0,0,"GoMF",2
19.11,0.035,6.176,0.932,44.218,"19-11-04_YC036_probe1",115,0,0,0,0,0,"GoMF",1
1.39,0.042,4.044,1.244,24.443,"19-11-04_YC036_probe1",13,0,0,0,0,0,"GoMF",3
40.94,0.018,6.66,0.931,83.578,"19-11-04_YC036_probe1",197,0,0,0,0,0,"GoMF",1
23.07,0.031,4.879,0.904,43.835,"19-11-04_YC036_probe1",202,0,0,0,0,0,"GoMF",2
3.77,0.047,4.504,0.833,32.444,"19-11-04_YC036_probe1",226,0,0,0,0,0,"GoMF",3
0.57,0.085,5.271,0.887,14.632,"19-11-04_YC036_probe1",227,0,0,0,0,0,"GoMF",4
15.94,0.033,5.719,1.11,59.223,"19-11-04_YC036_probe1",257,0,0,0,0,0,"GoMF",2
18.92,0.023,5.824,1.05,75.535,"19-11-04_YC036_probe1",273,0,0,0,0,0,"GoMF",1
4.15,0.034,3.879,1.156,53.116,"19-11-04_YC036_probe1",295,0,0,0,0,0,"GoMF",3
14.53,0.037,5.17,0.891,38.205,"19-11-04_YC036_probe1",339,0,0,0,0,0,"GoMF",2
6.59,0.058,4.97,0.969,24.94,"19-11-04_YC036_probe1",345,0,0,0,0,0,"GoMF",4
24.53,0.018,5.552,1.074,83.978,"19-11-04_YC036_probe1",348,0,0,0,0,0,"GoMF",1
13.02,0.04,4.496,0.886,32.953,"19-11-04_YC036_probe1",349,0,0,0,0,0,"GoMF",2
12.29,0.041,5.515,0.957,34.333,"19-11-04_YC036_probe1",351,0,0,0,0,0,"GoMF",2
21.64,0.033,6.534,0.942,49.345,"19-11-04_YC036_probe1",352,0,0,0,0,0,"GoMF",1
16.09,0.035,5.906,0.97,46.895,"19-11-04_YC036_probe1",355,0,0,0,0,0,"GoMF",1
4.25,0.07,4.204,0.826,16.477,"19-11-04_YC036_probe1",433,0,0,0,0,0,"GoMF",3
14.5,0.04,4.604,0.879,34.866,"19-11-04_YC036_probe1",435,0,0,0,0,0,"GoMF",2
2.28,0.154,4.846,1.464,17.362,"19-11-04_YC036_probe1",45,0,0,0,0,0,"GoMF",4
4.44,0.071,4.21,0.981,20.423,"19-11-04_YC036_probe1",452,0,0,0,0,0,"GoMF",3
11.96,0.041,5.44,0.892,33.34,"19-11-04_YC036_probe1",454,0,0,0,0,0,"GoMF",2
9.34,0.04,4.148,0.902,34.43,"19-11-04_YC036_probe1",471,0,0,0,0,0,"GoMF",2
29.53,0.013,4.972,0.948,84.864,"19-11-04_YC036_probe1",70,0,0,0,0,0,"GoMF",1
5.42,0.078,5.92,1.25,55.605,"19-11-04_YC036_probe1",81,0,0,0,0,0,"GoMF",4
14.73,0.045,5.776,1.017,50.099,"19-11-04_YC036_probe1",83,0,0,0,0,0,"GoMF",1
3.36,0.134,5.526,0.743,5.162,"19-11-04_YC036_probe1",96,0,0,0,0,0,"GoMF",4
3.36,0.134,5.526,0.743,5.162,"19-11-04_YC036_probe1",97,0,0,0,0,0,"GoMF",4
15,0.017,4.244,0.852,49.356,"19-11-11_YC040_probe1",196,0,0,0,0,0,"GoMF",2
26.6,0.016,5.189,0.745,39.253,"19-11-11_YC040_probe1",220,0,0,0,0,0,"GoMF",2
31.67,0.011,4.776,0.728,45.437,"19-11-11_YC040_probe1",231,0,0,0,0,0,"GoMF",2
1.33,0.125,2.573,0.973,9.351,"19-11-11_YC040_probe1",234,0,0,0,0,0,"GoMF",3
22.07,0.016,5.149,0.711,30.561,"19-11-11_YC040_probe1",249,0,0,0,0,0,"GoMF",2
19.05,0.017,4.906,0.734,30.652,"19-11-11_YC040_probe1",250,0,0,0,0,0,"GoMF",2
18.29,0.018,5.06,0.733,25.859,"19-11-11_YC040_probe1",253,0,0,0,0,0,"GoMF",2
7.35,0.028,4.441,0.988,43.801,"19-11-11_YC040_probe1",6,0,0,0,0,0,"GoMF",2
0.77,0.13,3.08,1.562,25.305,"19-11-11_YC040_probe1",62,0,0,0,0,0,"GoMF",4
19,0.015,5.271,1.235,87.586,"19-11-11_YC040_probe1",7,0,0,0,0,0,"GoMF",1
13.99,0.025,4.751,0.957,57.814,"19-11-11_YC040_probe1",228,0,1,0,0,0,"GoMF",2
18.71,0.02,5.173,0.701,23.336,"19-01-23_YC012_probe1",472,0,0,0,1,0,"GoMF",2
6.69,0.035,4.711,1.023,56.363,"19-01-23_YC012_probe1",438,0,0,0,1,0,"GoMF",3
15.87,0.036,6.117,1.003,50.586,"19-01-23_YC012_probe1",400,0,0,0,1,0,"GoMF",1
103.7,0.006,4.963,0.795,161.223,"18-09-03_YC005_probe1",43,0,0,0,1,0,"GoMF",1
8.72,0.079,5.296,1.246,35.158,"20-15-06_DK186_probe1",571,0,1,0,0,0,"GoMF",4
