"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","PAMCluster"
1.52,0.578,7.225,0.806,2.62,"18-08-31_YC003_probe1",137,0,0,0,0,0,"CS",2
1.03,0.898,7.342,0.739,1.752,"18-08-31_YC003_probe1",139,0,0,0,0,0,"CS",2
11.85,0.022,3.429,0.644,14.609,"18-08-31_YC003_probe1",152,0,0,0,0,0,"GoMF",5
8.2,0.078,6.351,0.769,11.322,"18-08-31_YC003_probe1",160,0,0,0,0,0,"MLI",1
2.96,0.224,6.78,0.938,7.497,"18-08-31_YC003_probe1",162,0,0,0,0,0,"Gr",2
11.62,0.065,6.937,0.759,14.061,"18-08-31_YC003_probe1",169,0,0,0,0,0,"MLI",1
23.47,0.034,5.255,0.923,26.012,"18-08-31_YC003_probe1",170,0,0,0,0,0,"GoMF",5
2.07,0.104,6.241,0.857,10.877,"18-08-31_YC003_probe1",173,0,0,0,0,0,"MLI",5
17.6,0.048,6.556,0.577,13.036,"18-08-31_YC003_probe1",175,0,0,0,0,0,"MLI",1
15.79,0.037,6.554,0.981,40.142,"18-08-31_YC003_probe1",181,0,0,0,0,0,"MLI",4
77.85,0.008,5.419,0.394,22.482,"18-08-31_YC003_probe1",184,0,0,0,0,0,"Unknown",3
62.17,0.01,4.68,0.412,19.931,"18-08-31_YC003_probe1",186,0,0,0,0,0,"Unknown",5
1.49,0.578,7.196,0.77,2.402,"18-08-31_YC003_probe1",187,0,0,0,0,0,"CS",2
14.93,0.039,6.495,0.926,33.433,"18-08-31_YC003_probe1",189,0,0,0,0,0,"MLI",4
9.5,0.074,6.7,0.87,26.206,"18-08-31_YC003_probe1",190,0,0,0,0,0,"MLI",1
73.25,0.008,5.337,0.533,35.364,"18-08-31_YC003_probe1",194,0,0,0,0,0,"Unknown",3
28.66,0.024,6.696,0.744,33.235,"18-08-31_YC003_probe1",196,0,0,0,0,0,"MLI",1
87.02,0.008,6.379,0.453,30.123,"18-08-31_YC003_probe1",201,0,0,0,0,0,"Pk",3
7.92,0.093,6.73,0.725,9.259,"18-08-31_YC003_probe1",208,0,0,0,0,0,"MLI",1
5.48,0.119,6.376,0.761,8.42,"18-08-31_YC003_probe1",209,0,0,0,0,0,"MLI",1
27.74,0.027,6.573,0.716,31.866,"18-08-31_YC003_probe1",218,0,0,0,0,0,"MLI",1
11.9,0.055,6.282,0.681,12.718,"18-08-31_YC003_probe1",222,0,0,0,0,0,"MLI",1
9.78,0.076,6.719,0.83,16.364,"18-08-31_YC003_probe1",223,0,0,0,0,0,"MLI",1
0.87,0.857,4.882,1.122,3.226,"18-08-31_YC003_probe1",224,0,0,0,0,0,"CS",2
9.68,0.078,6.669,0.71,11.006,"18-08-31_YC003_probe1",229,0,0,0,0,0,"MLI",1
5.81,0.072,5.761,1.018,24.034,"18-08-31_YC003_probe1",230,0,0,0,0,0,"MLI",5
87.62,0.009,5.916,0.374,21.559,"18-08-31_YC003_probe1",231,0,0,0,0,0,"Pk",3
1.83,0.438,7.077,0.791,2.942,"18-08-31_YC003_probe1",232,0,0,0,0,0,"CS",2
29.54,0.025,5.241,0.85,31.314,"18-08-31_YC003_probe1",239,0,0,0,0,0,"GoMF",5
70.98,0.012,6.126,0.375,17.329,"18-08-31_YC003_probe1",257,0,0,0,0,0,"Pk",3
1.4,0.605,7.151,0.771,2.273,"18-08-31_YC003_probe1",277,0,0,0,0,0,"CS",2
126.49,0.006,5.866,0.367,28.923,"18-08-31_YC003_probe1",292,0,0,0,0,0,"Pk",3
35.03,0.013,4.666,0.709,36.991,"18-08-31_YC003_probe1",295,0,0,0,0,0,"GoMF",5
68.49,0.01,5.886,0.607,41.436,"18-08-31_YC003_probe1",298,0,0,0,0,0,"Unknown",3
18.69,0.02,4.383,0.663,22.486,"18-08-31_YC003_probe1",300,0,0,0,0,0,"GoMF",5
78.13,0.012,6.826,0.393,21.988,"18-08-31_YC003_probe1",311,0,0,0,0,0,"Pk",3
21.99,0.032,6.487,0.793,32.097,"18-08-31_YC003_probe1",332,0,0,0,0,0,"MLI",1
0.38,1.868,6.013,1.182,4.614,"18-08-31_YC003_probe1",343,0,0,0,0,0,"CS",2
0.94,0.796,6.655,0.976,3.658,"18-08-31_YC003_probe1",355,0,0,0,0,0,"CS",2
15.75,0.04,6.588,0.889,29.062,"18-08-31_YC003_probe1",377,0,0,0,0,0,"MLI",4
1,0.841,7.112,0.837,2.191,"18-08-31_YC003_probe1",381,0,0,0,0,0,"CS",2
12.52,0.063,6.995,0.712,13.35,"18-08-31_YC003_probe1",393,0,0,0,0,0,"MLI",1
0.74,0.857,6.408,1.1,4.8,"18-08-31_YC003_probe1",457,0,0,0,0,0,"CS",2
52.91,0.015,6.421,0.514,24.129,"18-08-31_YC003_probe1",485,0,0,0,0,0,"Pk",1
22.7,0.032,7.074,0.942,85.525,"18-08-31_YC003_probe1",54,0,0,0,0,0,"GoMF",4
1.17,0.76,7.194,0.769,2.106,"18-08-31_YC003_probe1",560,0,0,0,0,0,"CS",2
33.01,0.025,6.956,0.643,29.512,"18-08-31_YC003_probe1",57,0,0,0,0,0,"Pk",1
10.42,0.042,5.192,0.785,18.967,"18-08-31_YC003_probe1",58,0,0,0,0,0,"MLI",5
14.3,0.047,6.742,0.876,26.951,"18-08-31_YC003_probe1",641,0,0,0,0,0,"MLI",1
21.17,0.042,6.747,0.56,12.649,"18-08-31_YC003_probe1",78,0,0,0,0,0,"MLI",1
23.88,0.036,6.871,0.494,10.503,"18-08-31_YC003_probe1",80,0,0,0,0,0,"MLI",1
22.28,0.023,5.919,0.844,42.077,"18-08-31_YC003_probe1",81,0,0,0,0,0,"MLI",4
37.11,0.014,5.21,0.822,94.357,"18-08-31_YC003_probe1",92,0,0,0,0,0,"GoMF",4
21.73,0.039,7.034,0.552,16.862,"18-08-31_YC003_probe1",97,0,0,0,0,0,"MLI",1
0.5,1.132,5.753,1.012,3.726,"18-08-31_YC004_probe1",102,0,0,0,0,0,"CS",2
10.04,0.077,6.784,0.595,7.512,"18-08-31_YC004_probe1",107,0,0,0,0,0,"MLI",1
148.15,0.006,6.731,0.243,15.956,"18-08-31_YC004_probe1",128,0,0,0,0,0,"Pk",3
116.53,0.009,6.343,0.584,45.279,"18-08-31_YC004_probe1",130,0,0,0,0,0,"Pk",3
1.72,0.505,6.484,1.315,12.038,"18-08-31_YC004_probe1",164,0,0,0,0,0,"Gr",2
