"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Cluster","Sample","Unit","Sample.1","Unit.1","RespPk","RespGo","RespGr","RespMF"
27.69,0.023,6.147,0.627,36.556,3,"18-12-13_YC008",152,"18-12-13_YC008",152,0,0,0,0
3.11,0.236,6.958,0.928,7.55,3,"18-12-13_YC008",184,"18-12-13_YC008",184,0,0,0,0
6.8,0.102,5.791,0.544,4.114,3,"18-12-13_YC008",196,"18-12-13_YC008",196,0,0,0,0
36.77,0.021,6.918,0.782,45.122,2,"18-12-13_YC008",240,"18-12-13_YC008",240,0,0,0,0
85.39,0.008,4.409,0.327,18.291,1,"18-12-13_YC008",243,"18-12-13_YC008",243,0,0,0,0
43.73,0.012,5.147,0.748,81.585,2,"18-12-13_YC008",244,"18-12-13_YC008",244,0,0,0,0
20.07,0.033,6.706,0.921,35.445,3,"18-12-13_YC008",247,"18-12-13_YC008",247,0,0,0,0
17.2,0.048,6.578,0.676,14.979,3,"18-12-13_YC008",248,"18-12-13_YC008",248,0,0,0,0
123.99,0.007,4.324,0.232,13.668,1,"18-12-13_YC008",278,"18-12-13_YC008",278,0,0,0,0
4.97,0.109,5.97,0.89,10.937,3,"18-12-13_YC008",30,"18-12-13_YC008",30,0,0,0,0
24.12,0.032,6.905,0.751,27.829,3,"18-12-13_YC008",329,"18-12-13_YC008",329,0,0,0,0
28.5,0.025,6.709,0.714,31.33,3,"18-12-13_YC008",344,"18-12-13_YC008",344,0,0,0,0
4.46,0.137,5.957,0.669,5.247,3,"18-12-13_YC008",376,"18-12-13_YC008",376,0,0,0,0
10.39,0.035,5.656,1.011,48.606,2,"18-12-13_YC008",42,"18-12-13_YC008",42,0,0,0,0
8.38,0.082,6.741,0.726,9.917,3,"18-12-13_YC008",54,"18-12-13_YC008",54,0,0,0,0
21.37,0.04,6.06,0.808,25.821,3,"18-12-13_YC008",81,"18-12-13_YC008",81,0,0,0,0
12.14,0.064,6.727,0.661,13.919,3,"18-12-13_YC008",95,"18-12-13_YC008",95,0,0,0,0
14.37,0.053,6.913,0.646,12.045,3,"18-12-17_YC009",103,"18-12-17_YC009",103,0,0,0,0
6.46,0.086,5.924,0.836,13.09,3,"18-12-17_YC009",105,"18-12-17_YC009",105,0,0,0,0
2.78,0.28,6.106,0.92,5.919,3,"18-12-17_YC009",110,"18-12-17_YC009",110,0,0,0,0
48.56,0.009,6.439,1.028,119.646,2,"18-12-17_YC009",111,"18-12-17_YC009",111,0,0,0,0
39.52,0.012,5.661,0.703,52.958,2,"18-12-17_YC009",113,"18-12-17_YC009",113,0,0,0,0
13.36,0.059,5.917,0.71,12.953,3,"18-12-17_YC009",124,"18-12-17_YC009",124,0,0,0,0
0.25,0.265,5.668,0.94,6.258,3,"18-12-17_YC009",126,"18-12-17_YC009",126,0,0,0,0
46.67,0.019,6.635,0.748,40.489,2,"18-12-17_YC009",127,"18-12-17_YC009",127,0,0,0,0
4.52,0.138,6.567,0.985,13.349,3,"18-12-17_YC009",129,"18-12-17_YC009",129,0,0,0,0
14.37,0.051,6.671,0.694,15.221,3,"18-12-17_YC009",13,"18-12-17_YC009",13,0,0,0,0
15.57,0.041,6.691,0.928,32.905,3,"18-12-17_YC009",139,"18-12-17_YC009",139,0,0,0,0
7.43,0.096,5.965,0.68,8.465,3,"18-12-17_YC009",14,"18-12-17_YC009",14,0,0,0,0
16.8,0.038,6.603,0.694,22.265,3,"18-12-17_YC009",17,"18-12-17_YC009",17,0,0,0,0
19.56,0.037,6.831,0.822,28.834,3,"18-12-17_YC009",180,"18-12-17_YC009",180,0,0,0,0
40.1,0.012,4.654,0.592,41.023,1,"18-12-17_YC009",22,"18-12-17_YC009",22,0,0,0,0
7.75,0.1,6.871,0.7,7.705,3,"18-12-17_YC009",234,"18-12-17_YC009",234,0,0,0,0
14.15,0.05,6.677,0.649,14.163,3,"18-12-17_YC009",240,"18-12-17_YC009",240,0,0,0,0
13.56,0.049,6.699,0.644,19.358,3,"18-12-17_YC009",25,"18-12-17_YC009",25,0,0,0,0
17.78,0.02,5.487,0.953,78.803,2,"18-12-17_YC009",26,"18-12-17_YC009",26,0,0,0,0
11.83,0.053,6.463,0.657,11.657,3,"18-12-17_YC009",272,"18-12-17_YC009",272,0,0,0,0
17.83,0.038,6.638,0.99,51.314,2,"18-12-17_YC009",280,"18-12-17_YC009",280,0,0,0,0
40.59,0.018,6.607,0.636,39.708,3,"18-12-17_YC009",281,"18-12-17_YC009",281,0,0,0,0
13.38,0.029,5.454,0.823,33.078,2,"18-12-17_YC009",286,"18-12-17_YC009",286,0,0,0,0
2.98,0.2,6.406,0.947,9.678,3,"18-12-17_YC009",287,"18-12-17_YC009",287,0,0,0,0
30.63,0.021,6.194,0.68,37.495,3,"18-12-17_YC009",288,"18-12-17_YC009",288,0,0,0,0
7.09,0.079,6.485,0.751,12.44,3,"18-12-17_YC009",29,"18-12-17_YC009",29,0,0,0,0
60.42,0.021,5.615,0.742,31.263,1,"18-12-17_YC009",311,"18-12-17_YC009",311,0,0,0,0
43.1,0.013,5.758,0.606,32.603,1,"18-12-17_YC009",329,"18-12-17_YC009",329,0,0,0,0
24.12,0.027,6.24,0.631,21.129,3,"18-12-17_YC009",336,"18-12-17_YC009",336,0,0,0,0
35.54,0.014,4.657,0.608,27.235,1,"18-12-17_YC009",352,"18-12-17_YC009",352,0,0,0,0
14.14,0.029,4.677,0.758,28.202,2,"18-12-17_YC009",364,"18-12-17_YC009",364,0,0,0,0
7.12,0.07,5.287,0.725,12.603,3,"18-12-17_YC009",373,"18-12-17_YC009",373,0,0,0,0
28.91,0.021,6.502,0.853,51.67,2,"18-12-17_YC009",39,"18-12-17_YC009",39,0,0,0,0
87.92,0.008,4.499,0.456,31.333,1,"18-12-17_YC009",501,"18-12-17_YC009",501,0,0,0,0
35.5,0.016,5.375,0.633,26.939,1,"18-12-17_YC009",570,"18-12-17_YC009",570,0,0,0,0
59.06,0.01,4.975,0.324,15.429,1,"18-12-17_YC009",590,"18-12-17_YC009",590,0,0,0,0
25.51,0.025,6.617,0.826,41.146,2,"18-12-17_YC009",594,"18-12-17_YC009",594,0,0,0,0
28.23,0.026,6.756,0.687,30.531,3,"18-12-17_YC009",611,"18-12-17_YC009",611,0,0,0,0
41.27,0.015,5.356,0.581,25.756,1,"18-12-17_YC009",617,"18-12-17_YC009",617,0,0,0,0
26.08,0.022,4.767,0.502,14.035,1,"18-12-17_YC009",627,"18-12-17_YC009",627,0,0,0,0
7.01,0.108,6.815,0.86,18.11,3,"18-12-17_YC009",65,"18-12-17_YC009",65,0,0,0,0
8.24,0.08,6.561,0.914,16.875,3,"18-12-17_YC009",75,"18-12-17_YC009",75,0,0,0,0
22.75,0.031,6.741,0.749,29.231,3,"18-12-17_YC009",88,"18-12-17_YC009",88,0,0,0,0
21.32,0.025,5.618,0.975,64.521,2,"18-12-17_YC009",95,"18-12-17_YC009",95,0,0,0,0
25.7,0.024,6,0.819,40.302,2,"18-12-17_YC010",113,"18-12-17_YC010",113,0,0,0,0
36.53,0.019,6.308,0.774,50.463,2,"18-12-17_YC010",193,"18-12-17_YC010",193,0,0,0,0
43.72,0.017,6.647,0.807,66.127,2,"18-12-17_YC010",272,"18-12-17_YC010",272,0,0,0,0
50.57,0.017,7.069,0.743,57.142,2,"18-12-17_YC010",277,"18-12-17_YC010",277,0,0,0,0
6.03,0.121,6.602,0.664,5.747,3,"18-12-17_YC010",297,"18-12-17_YC010",297,0,0,0,0
28.08,0.019,6.285,0.961,64.123,2,"18-12-17_YC010",314,"18-12-17_YC010",314,1,0,0,0
30.8,0.022,6.021,0.661,25.599,3,"18-12-17_YC010",402,"18-12-17_YC010",402,0,0,0,0
14.19,0.071,5.947,0.633,7.571,3,"18-12-17_YC010",86,"18-12-17_YC010",86,0,0,0,0
2.68,0.035,3.373,0.799,10.109,2,"18-12-17_YC010",99,"18-12-17_YC010",99,0,0,0,0
8.08,0.054,5.074,0.822,12.783,3,"18-12-18_YC010",0,"18-12-18_YC010",0,0,0,0,0
2.34,0.181,5.436,0.9,6.68,3,"18-12-18_YC010",1,"18-12-18_YC010",1,0,0,0,0
5.77,0.139,6.788,0.711,5.869,3,"18-12-18_YC010",163,"18-12-18_YC010",163,0,0,0,0
3.63,0.024,4.019,1.174,57.447,2,"18-12-18_YC010",2,"18-12-18_YC010",2,0,0,0,0
1.4,0.218,4.769,0.958,7.233,3,"18-12-18_YC010",22,"18-12-18_YC010",22,0,0,0,0
83.53,0.009,5.266,0.344,17.8,1,"18-12-18_YC010",310,"18-12-18_YC010",310,0,0,0,0
43.84,0.015,6.742,0.879,69.975,2,"18-12-18_YC010",34,"18-12-18_YC010",34,0,0,0,0
6.22,0.083,5.617,0.586,5.309,3,"18-12-18_YC010",76,"18-12-18_YC010",76,0,0,0,0
50.43,0.015,6.94,0.744,54.897,2,"19-01-16_YC011",121,"19-01-16_YC011",121,0,0,0,0
36.18,0.021,6.548,0.977,120.929,2,"19-01-16_YC011",154,"19-01-16_YC011",154,0,0,0,0
4.49,0.139,6.69,0.883,10.333,3,"19-01-16_YC011",39,"19-01-16_YC011",39,0,0,0,0
8.31,0.105,6.066,0.57,3.878,3,"19-01-16_YC011",49,"19-01-16_YC011",49,0,0,0,0
21.11,0.037,6.783,0.672,24.936,3,"19-01-16_YC011",53,"19-01-16_YC011",53,0,0,0,0
9.64,0.063,6.139,0.805,17.848,3,"19-01-16_YC011",55,"19-01-16_YC011",55,0,0,0,0
4.48,0.176,7.011,0.8,6.654,3,"19-01-16_YC011",67,"19-01-16_YC011",67,0,0,0,0
38.45,0.021,6.99,0.641,30.641,3,"19-01-16_YC011",73,"19-01-16_YC011",73,0,0,0,0
17.7,0.048,6.7,0.786,19.22,3,"19-01-16_YC011",78,"19-01-16_YC011",78,0,0,0,0
19.31,0.032,6.578,0.785,28.247,3,"19-01-16_YC011",85,"19-01-16_YC011",85,0,0,0,0
20.88,0.032,6.677,0.72,21.982,3,"19-01-16_YC011",87,"19-01-16_YC011",87,0,0,0,0
41.79,0.017,6.361,0.934,85.548,2,"19-01-23_YC012",246,"19-01-23_YC012",246,0,0,0,0
33.53,0.012,5.798,0.852,76.639,2,"19-01-23_YC012",824,"19-01-23_YC012",824,0,0,0,0
5.32,0.048,4.841,1.142,44.337,2,"19-01-23_YC012",928,"19-01-23_YC012",928,0,0,0,1
5.66,0.112,6.303,0.675,5.812,3,"19-01-23_YC013",336,"19-01-23_YC013",336,0,0,0,0
9.82,0.056,5.79,0.752,13.077,3,"19-01-23_YC013",44,"19-01-23_YC013",44,0,0,0,0
10.54,0.028,4.307,1.085,66.162,2,"19-01-24_YC012",168,"19-01-24_YC012",168,0,0,0,0
4.42,0.095,5.123,0.868,15.957,3,"19-01-24_YC012",304,"19-01-24_YC012",304,0,0,0,0
47.84,0.008,5.303,0.806,100.634,2,"19-01-24_YC012",547,"19-01-24_YC012",547,0,0,0,0
18.6,0.043,6.669,0.722,25.903,3,"19-01-24_YC012",554,"19-01-24_YC012",554,0,0,0,0
18.99,0.014,4.66,0.82,65.956,2,"19-01-24_YC012",558,"19-01-24_YC012",558,0,0,0,0
13.02,0.046,6.218,0.862,35.802,3,"19-01-24_YC012",563,"19-01-24_YC012",563,0,0,0,0
8.59,0.029,4.378,0.895,39.041,2,"19-01-24_YC012",898,"19-01-24_YC012",898,0,0,0,0
2.13,0.213,5.862,0.902,4.817,3,"19-01-24_YC013",30,"19-01-24_YC013",30,0,0,0,0
8.4,0.084,6.745,0.635,7.007,3,"19-01-24_YC013",38,"19-01-24_YC013",38,0,0,0,0
3.36,0.174,6.183,0.826,4.895,3,"19-01-24_YC013",46,"19-01-24_YC013",46,0,0,0,0
14.01,0.078,6.931,0.723,10.998,3,"19-01-24_YC013",51,"19-01-24_YC013",51,0,0,0,0
4.29,0.162,4.708,1.696,28.328,2,"19-01-24_YC013",651,"19-01-24_YC013",651,0,0,0,0
9.25,0.043,5.67,0.741,15.374,3,"19-08-14_YC015",133,"19-08-14_YC015",133,0,0,0,0
3.62,0.163,6.008,0.71,5.908,3,"19-08-14_YC015",1799,"19-08-14_YC015",1799,0,0,0,0
11.38,0.072,6.748,0.698,12.233,3,"19-08-14_YC015",31,"19-08-14_YC015",31,0,0,0,0
24.33,0.024,6.022,1.09,127.191,2,"19-08-14_YC015",351,"19-08-14_YC015",351,0,0,0,0
8.24,0.078,6.601,0.745,11.322,3,"19-08-14_YC015",381,"19-08-14_YC015",381,0,0,0,0
12.4,0.042,6.013,0.7,16.717,3,"19-08-14_YC015",53,"19-08-14_YC015",53,0,0,0,0
17.96,0.044,5.887,0.574,11.741,3,"19-08-14_YC015",60,"19-08-14_YC015",60,0,0,0,0
30.78,0.028,6.905,0.802,44.41,2,"19-08-14_YC015",846,"19-08-14_YC015",846,0,0,0,0
23.89,0.017,5.398,0.975,87.359,2,"19-08-14_YC015",847,"19-08-14_YC015",847,0,0,0,0
16.23,0.028,6.013,0.986,67.666,2,"19-08-14_YC015",850,"19-08-14_YC015",850,0,0,0,0
23.68,0.012,5.077,0.942,90.098,2,"19-08-14_YC015",851,"19-08-14_YC015",851,0,0,0,0
