"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","Cluster"
63.85,0.014,7.217,0.458,24.777,"19-08-14_YC016_probe2","131",2
42.21,0.018,6.189,0.251,5.824,"19-08-14_YC016_probe2","132",2
78.31,0.011,7.113,0.482,41.463,"19-08-14_YC016_probe2","154",2
130.07,0.008,7.113,0.213,10.707,"19-08-14_YC016_probe2","218",2
73.97,0.01,6.558,0.309,16.609,"19-08-14_YC016_probe2","224",2
79.57,0.011,6.914,0.442,26.573,"19-08-14_YC016_probe2","227",2
156.61,0.006,6.22,0.209,14.848,"19-08-14_YC016_probe2","239",2
79.81,0.012,6.954,0.415,25.908,"19-08-14_YC016_probe2","243",2
81.22,0.012,7.123,0.352,17.56,"19-08-14_YC016_probe2","377",2
28.84,0.034,7.246,0.446,15.807,"19-08-14_YC016_probe2","378",2
104.15,0.009,6.867,0.34,23.007,"19-08-14_YC016_probe2","418",2
102.04,0.009,7.038,0.303,16.955,"19-08-14_YC016_probe2","437",2
57.15,0.014,6.669,0.456,20.559,"19-08-14_YC016_probe2","443",2
148.23,0.006,6.687,0.265,19.433,"19-08-14_YC016_probe2","490",2
86.69,0.011,7.072,0.293,13.894,"19-08-14_YC016_probe2","501",2
43.89,0.017,6.648,0.587,26.651,"19-08-14_YC016_probe2","509",2
73.84,0.012,7.143,0.382,19.233,"19-08-14_YC016_probe2","539",2
86.19,0.01,5.978,0.323,16.229,"19-08-14_YC016_probe2","544",2
81.51,0.011,6.852,0.366,18.783,"19-08-14_YC016_probe2","549",2
81.36,0.01,6.132,0.37,21.7,"19-08-14_YC016_probe2","558",2
98.97,0.007,5.639,0.373,25.469,"19-08-14_YC016_probe2","666",2
54.58,0.016,7.013,0.479,23.2,"19-08-14_YC016_probe2","716",2
84.29,0.011,7.02,0.381,21.579,"19-08-14_YC016_probe2","812",2
73.65,0.013,6.878,0.367,18.574,"19-08-14_YC016_probe2","814",2
55.76,0.013,6.566,0.692,47.692,"19-08-14_YC016_probe2","815",2
