"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","Cluster"
11.85,0.022,3.429,0.644,14.609,"18-08-31_YC003",152,0,0,0,0,0,0.026977968,0.059412512,0.06985202,0.086884594,0.22389787,0.16,0.147256809,0.12,-0.00504063,-0.002563585,-0.037434028,0.022389787,0.201508087,0.111948937,0.224,-8.941764115,9.691416124,-0.785425607,2
8.2,0.078,6.351,0.769,11.322,"18-08-31_YC003",160,0,0,0,0,0,0.121534097,0.168256276,0.117335439,0.150693873,0.5103846,0.36,0.304971024,0.17,-0.032169554,0.021213671,0.014699625,0.051038462,0.459346157,0.25519231,0.51,-6.243950976,4.787925981,-1.316562356,1
2.96,0.224,6.78,0.938,7.497,"18-08-31_YC003",162,0,0,0,0,0,0.114710784,0.153782485,0.211870746,0.259352103,0.7429989,0.43,0.291676933,0.26,-0.06810339,0.044687472,-0.037488151,0.07429989,0.668699008,0.371499449,0.743,-6.533299374,4.541305747,-2.077791104,1
11.62,0.065,6.937,0.759,14.061,"18-08-31_YC003",169,0,0,0,0,0,0.112231831,0.14388473,0.170518617,0.196115219,0.5290288,0.36,0.291646567,0.17,-0.029450951,0.011587633,-0.039745167,0.052902877,0.476125896,0.264514387,0.529,-7.905532343,4.610727041,-1.37870145,1
23.47,0.034,5.255,0.923,26.012,"18-08-31_YC003",170,0,0,0,0,0,0.044090842,0.086574399,0.050837531,0.057807483,0.42463112,0.16,0.149540869,0.16,0.00225935,0.021463495,0.009930344,0.042463112,0.382168007,0.212315559,0.425,-16.24436842,15.61707842,-1.649619014,2
2.07,0.104,6.241,0.857,10.877,"18-08-31_YC003",173,0,0,0,0,0,0.032820021,0.063565156,0.071696677,0.082237283,0.2376148,0.16,0.170670861,0.12,-0.011663141,-0.05363991,-0.027345365,0.02376148,0.213853316,0.118807398,0.238,-7.981853736,9.562931603,-0.917089873,1
15.79,0.037,6.554,0.981,40.142,"18-08-31_YC003",181,0,0,0,0,0,0.158743349,0.213833272,0.235636178,0.253028803,0.33875018,0.5,0.387521205,0.2,-0.062323403,0.02234294,-0.045474068,0.033875018,0.304875165,0.169375092,0.339,-6.654557733,2.745738398,-0.76431292,2
77.85,0.008,5.419,0.394,22.482,"18-08-31_YC003",184,0,0,0,0,0,0.069971526,0.175145456,0.116764184,0.147232692,0.2717876,0.36,0.663519583,0.17,-0.038501725,0.14443311,0.029308555,0.027178761,0.244608852,0.135893807,0.272,-6.410075313,4.179998998,-0.301789452,2
62.17,0.01,4.68,0.412,19.931,"18-08-31_YC003",186,0,0,0,0,0,0.087302851,0.193569164,0.124662437,0.169863153,0.43721336,0.4,0.627319368,0.23,-0.157001,0.21517289,0.021818054,0.043721336,0.393492025,0.218606681,0.437,-4.615868936,4.545357188,-0.49134324,2
14.93,0.039,6.495,0.926,33.433,"18-08-31_YC003",189,0,0,0,0,0,0.039317108,0.081701734,0.089380983,0.101461851,0.22373033,0.2,0.147779399,0.1,-0.017568134,0.003714265,-0.016523372,0.022373033,0.201357293,0.111865163,0.224,-8.476083783,7.751199964,-0.770150534,2
9.5,0.074,6.7,0.87,26.206,"18-08-31_YC003",190,0,0,0,0,0,0.052497016,0.110253783,0.091723767,0.128685084,0.40294108,0.26,0.317669066,0.14,-0.010278992,0.021303652,0.01161233,0.040294108,0.36264697,0.201470539,0.403,-10.60483885,6.816209848,-1.026886332,1
73.25,0.008,5.337,0.533,35.364,"18-08-31_YC003",194,0,0,0,0,0,0.037433313,0.09265286,0.085894251,0.128021788,0.26552838,0.24,0.369830335,0.13,-0.016753817,0.081507355,-0.024177503,0.026552838,0.238975543,0.13276419,0.266,-7.687027505,6.964991899,-0.546327732,2
28.66,0.024,6.696,0.744,33.235,"18-08-31_YC003",196,0,0,0,0,0,0.096796198,0.127602361,0.144617898,0.207705948,0.5170558,0.36,0.369814352,0.2,-0.04516169,0.10556762,-0.00486279,0.051705581,0.465350229,0.258527905,0.517,-7.055398141,4.938394716,-1.04805746,1
7.92,0.093,6.73,0.725,9.259,"18-08-31_YC003",208,0,0,0,0,0,0.049420913,0.090148682,0.084566904,0.095580044,0.35811943,0.2,0.173250017,0.14,-0.017517567,0.014009511,-0.018041274,0.035811943,0.322307485,0.179059714,0.358,-15.54856959,9.496641652,-1.180388461,1
5.48,0.119,6.376,0.761,8.42,"18-08-31_YC003",209,0,0,0,0,0,0.042333898,0.074500533,0.058096441,0.074371659,0.67012537,0.16,0.120157545,0.12,-0.008645568,0.038517404,-0.007081246,0.067012537,0.603112829,0.335062683,0.67,-16.52881584,11.47081753,-2.582891765,1
