"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
0.97,0.311,5.213,1.046,6.508,"18-09-03_YC005_probe1",50,0,0,0,0,0,"Gr",2
15.79,0.021,4.409,0.83,35.148,"18-09-03_YC006_probe1",104,0,0,0,0,0,"GoMF",3
90.49,0.005,3.515,0.234,11.765,"18-09-03_YC006_probe1",119,0,0,0,0,0,"Unknown",4
32.64,0.026,6.469,0.644,25.985,"18-09-03_YC006_probe1",159,0,0,0,0,0,"MLI",1
0.97,0.137,4.615,1.429,37.779,"18-09-03_YC006_probe1",19,0,0,0,0,0,"GoMF",3
0.94,0.142,4.686,1.456,36.285,"18-09-03_YC006_probe1",20,0,0,0,0,0,"GoMF",3
21.36,0.035,6.502,0.588,19.02,"18-09-03_YC006_probe1",225,0,0,0,0,0,"MLI",1
22.82,0.034,6.837,0.783,41.477,"18-09-03_YC006_probe1",31,0,0,0,0,0,"MLI",1
1.92,0.053,4.396,1.107,44.825,"18-09-03_YC006_probe1",373,0,0,0,0,0,"GoMF",3
22.2,0.029,6.791,0.823,35.292,"18-09-03_YC006_probe1",388,0,0,0,0,0,"MLI",1
10.07,0.08,6.726,1.143,41.19,"18-09-03_YC006_probe1",41,0,0,0,0,0,"GoMF",3
53.91,0.013,5.296,0.392,16.788,"18-09-03_YC006_probe1",62,0,0,0,0,0,"Unknown",4
4,0.126,5.177,0.78,6.437,"18-09-03_YC006_probe1",66,0,0,0,0,0,"GoMF",1
11.62,0.069,7.037,0.831,18.238,"18-09-03_YC006_probe1",8,0,0,0,0,0,"MLI",1
4.33,0.085,5.01,0.898,11.987,"18-09-03_YC006_probe1",82,0,0,0,0,0,"GoMF",3
4.13,0.087,4.765,0.915,12.278,"18-09-03_YC006_probe1",83,0,0,0,0,0,"GoMF",3
22.97,0.019,5.285,0.909,78.473,"18-09-03_YC006_probe1",86,0,0,0,0,0,"GoMF",3
47.32,0.015,6.261,0.774,55.197,"18-09-03_YC006_probe1",98,0,0,0,0,0,"MLI",1
15.85,0.053,6.773,0.776,19.295,"19-12-13_YC007_probe1",84,0,0,0,0,0,"MLI",1
5.2,0.161,6.461,0.433,2.201,"18-12-13_YC008_probe1",120,0,0,0,0,0,"MLI",1
9.05,0.067,6.338,1.212,48.132,"18-12-13_YC008_probe1",134,0,0,0,0,0,"GoMF",3
11.67,0.061,6.822,0.629,11.038,"18-12-13_YC008_probe1",149,0,0,0,0,0,"MLI",1
27.69,0.023,6.147,0.627,36.556,"18-12-13_YC008_probe1",152,0,0,0,0,0,"MLI",1
23.48,0.031,5.894,0.425,9.86,"18-12-13_YC008_probe1",170,0,0,0,0,0,"MLI",1
3.11,0.236,6.958,0.928,7.55,"18-12-13_YC008_probe1",184,0,0,0,0,0,"Gr",2
6.8,0.102,5.791,0.544,4.114,"18-12-13_YC008_probe1",196,0,0,0,0,0,"MLI",1
36.77,0.021,6.918,0.782,45.122,"18-12-13_YC008_probe1",240,0,0,0,0,0,"MLI",1
85.39,0.008,4.409,0.327,18.291,"18-12-13_YC008_probe1",243,0,0,0,0,0,"Unknown",4
43.73,0.012,5.147,0.748,81.585,"18-12-13_YC008_probe1",244,0,0,0,0,0,"GoMF",3
20.07,0.033,6.706,0.921,35.445,"18-12-13_YC008_probe1",247,0,0,0,0,0,"MLI",1
17.2,0.048,6.578,0.676,14.979,"18-12-13_YC008_probe1",248,0,0,0,0,0,"MLI",1
28.05,0.027,5.671,0.528,16.573,"18-12-13_YC008_probe1",272,0,0,0,0,0,"MLI",4
123.99,0.007,4.324,0.232,13.668,"18-12-13_YC008_probe1",278,0,0,0,0,0,"Unknown",4
12.86,0.072,7.183,0.494,5.912,"18-12-13_YC008_probe1",28,0,0,0,0,0,"MLI",1
4.97,0.109,5.97,0.89,10.937,"18-12-13_YC008_probe1",30,0,0,0,0,0,"MLI",1
24.12,0.032,6.905,0.751,27.829,"18-12-13_YC008_probe1",329,0,0,0,0,0,"MLI",1
28.5,0.025,6.709,0.714,31.33,"18-12-13_YC008_probe1",344,0,0,0,0,0,"MLI",1
4.46,0.137,5.957,0.669,5.247,"18-12-13_YC008_probe1",376,0,0,0,0,0,"MLI",1
10.39,0.035,5.656,1.011,48.606,"18-12-13_YC008_probe1",42,0,0,0,0,0,"GoMF",3
17.12,0.049,6.92,0.574,11.547,"18-12-13_YC008_probe1",49,0,0,0,0,0,"MLI",1
8.38,0.082,6.741,0.726,9.917,"18-12-13_YC008_probe1",54,0,0,0,0,0,"MLI",1
21.37,0.04,6.06,0.808,25.821,"18-12-13_YC008_probe1",81,0,0,0,0,0,"MLI",1
12.14,0.064,6.727,0.661,13.919,"18-12-13_YC008_probe1",95,0,0,0,0,0,"MLI",1
14.37,0.053,6.913,0.646,12.045,"18-12-17_YC009_probe1",103,0,0,0,0,0,"MLI",1
6.46,0.086,5.924,0.836,13.09,"18-12-17_YC009_probe1",105,0,0,0,0,0,"MLI",1
2.78,0.28,6.106,0.92,5.919,"18-12-17_YC009_probe1",110,0,0,0,0,0,"Gr",2
48.56,0.009,6.439,1.028,119.646,"18-12-17_YC009_probe1",111,0,0,0,0,0,"GoMF",3
39.52,0.012,5.661,0.703,52.958,"18-12-17_YC009_probe1",113,0,0,0,0,0,"MLI",1
13.36,0.059,5.917,0.71,12.953,"18-12-17_YC009_probe1",124,0,0,0,0,0,"MLI",1
0.25,0.265,5.668,0.94,6.258,"18-12-17_YC009_probe1",126,0,0,0,0,0,"Gr",2
46.67,0.019,6.635,0.748,40.489,"18-12-17_YC009_probe1",127,0,0,0,0,0,"MLI",1
4.52,0.138,6.567,0.985,13.349,"18-12-17_YC009_probe1",129,0,0,0,0,0,"MLI",1
14.37,0.051,6.671,0.694,15.221,"18-12-17_YC009_probe1",13,0,0,0,0,0,"MLI",1
15.57,0.041,6.691,0.928,32.905,"18-12-17_YC009_probe1",139,0,0,0,0,0,"MLI",1
7.43,0.096,5.965,0.68,8.465,"18-12-17_YC009_probe1",14,0,0,0,0,0,"MLI",1
16.8,0.038,6.603,0.694,22.265,"18-12-17_YC009_probe1",17,0,0,0,0,0,"MLI",1
19.56,0.037,6.831,0.822,28.834,"18-12-17_YC009_probe1",180,0,0,0,0,0,"MLI",1
30.34,0.025,6.323,0.574,19.03,"18-12-17_YC009_probe1",215,0,0,0,0,0,"MLI",1
40.1,0.012,4.654,0.592,41.023,"18-12-17_YC009_probe1",22,0,0,0,0,0,"Unknown",4
7.75,0.1,6.871,0.7,7.705,"18-12-17_YC009_probe1",234,0,0,0,0,0,"MLI",1
14.15,0.05,6.677,0.649,14.163,"18-12-17_YC009_probe1",240,0,0,0,0,0,"MLI",1
13.56,0.049,6.699,0.644,19.358,"18-12-17_YC009_probe1",25,0,0,0,0,0,"MLI",1
17.78,0.02,5.487,0.953,78.803,"18-12-17_YC009_probe1",26,0,0,0,0,0,"GoMF",3
11.83,0.053,6.463,0.657,11.657,"18-12-17_YC009_probe1",272,0,0,0,0,0,"MLI",1
17.83,0.038,6.638,0.99,51.314,"18-12-17_YC009_probe1",280,0,0,0,0,0,"GoMF",3
40.59,0.018,6.607,0.636,39.708,"18-12-17_YC009_probe1",281,0,0,0,0,0,"MLI",1
14.25,0.057,6.972,0.571,9.423,"18-12-17_YC009_probe1",283,0,0,0,0,0,"MLI",1
13.38,0.029,5.454,0.823,33.078,"18-12-17_YC009_probe1",286,0,0,0,0,0,"GoMF",3
2.98,0.2,6.406,0.947,9.678,"18-12-17_YC009_probe1",287,0,0,0,0,0,"Gr",2
30.63,0.021,6.194,0.68,37.495,"18-12-17_YC009_probe1",288,0,0,0,0,0,"MLI",1
7.09,0.079,6.485,0.751,12.44,"18-12-17_YC009_probe1",29,0,0,0,0,0,"MLI",1
17.22,0.047,6.82,0.567,11.248,"18-12-17_YC009_probe1",290,0,0,0,0,0,"MLI",1
60.42,0.021,5.615,0.742,31.263,"18-12-17_YC009_probe1",311,0,0,0,0,0,"Unknown",4
43.1,0.013,5.758,0.606,32.603,"18-12-17_YC009_probe1",329,0,0,0,0,0,"MLI",1
24.12,0.027,6.24,0.631,21.129,"18-12-17_YC009_probe1",336,0,0,0,0,0,"MLI",1
35.54,0.014,4.657,0.608,27.235,"18-12-17_YC009_probe1",352,0,0,0,0,0,"Unknown",4
14.14,0.029,4.677,0.758,28.202,"18-12-17_YC009_probe1",364,0,0,0,0,0,"GoMF",3
7.12,0.07,5.287,0.725,12.603,"18-12-17_YC009_probe1",373,0,0,0,0,0,"MLI",1
28.91,0.021,6.502,0.853,51.67,"18-12-17_YC009_probe1",39,0,0,0,0,0,"MLI",1
82.87,0.008,5.957,0.557,43.213,"18-12-17_YC009_probe1",487,0,0,0,0,0,"Unknown",4
87.92,0.008,4.499,0.456,31.333,"18-12-17_YC009_probe1",501,0,0,0,0,0,"Unknown",4
42.13,0.018,6.301,0.51,19.223,"18-12-17_YC009_probe1",566,0,0,0,0,0,"MLI",1
35.5,0.016,5.375,0.633,26.939,"18-12-17_YC009_probe1",570,0,0,0,0,0,"MLI",4
59.06,0.01,4.975,0.324,15.429,"18-12-17_YC009_probe1",590,0,0,0,0,0,"Unknown",4
25.51,0.025,6.617,0.826,41.146,"18-12-17_YC009_probe1",594,0,0,0,0,0,"MLI",1
28.23,0.026,6.756,0.687,30.531,"18-12-17_YC009_probe1",611,0,0,0,0,0,"MLI",1
41.27,0.015,5.356,0.581,25.756,"18-12-17_YC009_probe1",617,0,0,0,0,0,"MLI",4
