"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","Cluster"
126.49,0.006,5.866,0.367,28.923,"18-08-31_YC003",292,0,0,0,0,0,1
35.03,0.013,4.666,0.709,36.991,"18-08-31_YC003",295,0,0,0,0,0,2
68.49,0.01,5.886,0.607,41.436,"18-08-31_YC003",298,0,0,0,0,0,2
18.69,0.02,4.383,0.663,22.486,"18-08-31_YC003",300,0,0,0,0,0,2
78.13,0.012,6.826,0.393,21.988,"18-08-31_YC003",311,0,0,0,0,0,1
21.99,0.032,6.487,0.793,32.097,"18-08-31_YC003",332,0,0,0,0,0,2
0.38,1.868,6.013,1.182,4.614,"18-08-31_YC003",343,0,0,0,0,0,3
0.94,0.796,6.655,0.976,3.658,"18-08-31_YC003",355,0,0,0,0,0,3
15.75,0.04,6.588,0.889,29.062,"18-08-31_YC003",377,0,0,0,0,0,2
1,0.841,7.112,0.837,2.191,"18-08-31_YC003",381,0,0,0,0,0,3
12.52,0.063,6.995,0.712,13.35,"18-08-31_YC003",393,0,0,0,0,0,2
0.74,0.857,6.408,1.1,4.8,"18-08-31_YC003",457,0,0,0,0,0,3
52.91,0.015,6.421,0.514,24.129,"18-08-31_YC003",485,0,0,0,0,0,1
22.7,0.032,7.074,0.942,85.525,"18-08-31_YC003",54,0,0,0,0,0,2
1.17,0.76,7.194,0.769,2.106,"18-08-31_YC003",560,0,0,0,0,0,3
33.01,0.025,6.956,0.643,29.512,"18-08-31_YC003",57,0,0,0,0,0,1
10.42,0.042,5.192,0.785,18.967,"18-08-31_YC003",58,0,0,0,0,0,2
14.3,0.047,6.742,0.876,26.951,"18-08-31_YC003",641,0,0,0,0,0,2
21.17,0.042,6.747,0.56,12.649,"18-08-31_YC003",78,0,0,0,0,0,1
23.88,0.036,6.871,0.494,10.503,"18-08-31_YC003",80,0,0,0,0,0,1
22.28,0.023,5.919,0.844,42.077,"18-08-31_YC003",81,0,0,0,0,0,2
37.11,0.014,5.21,0.822,94.357,"18-08-31_YC003",92,0,0,0,0,0,2
21.73,0.039,7.034,0.552,16.862,"18-08-31_YC003",97,0,0,0,0,0,1
