MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,SampleP,Sample,Unit,RespPk,RespGo,RespGr,RespMF,RespMLI,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_ModeIsi,tf_Perc5Isi,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_Si,tf_skw,wf_EndSlopeTau
14.95,0.046,6.3,1.04,54.981,18-08-30_YC001,18-08-30_YC001_probe1,221,0,0,0,0,0,0.020747714,0.037343062,0.065,0.08481266,0.2310198,0.13,0.158142578,0.105,-0.007814149,0.012123838,-0.110592129,0.023101979,0.207917815,0.115509897,0.231,-15.20692579,10.06632149,-0.720600131,2,3,5,Go + MF,24.8,0,81.208,0,0.002,1.061,1.069,1.467,1.086,0.146,2.014,0.134415117
69.27,0.012,5.349,0.355,14.971,18-08-30_YC001,18-08-30_YC001_probe1,227,1,0,0,0,0,0.065942163,0.109608709,0.100005229,0.129479844,0.43939167,0.26,0.437284064,0.17,-0.10094131,0.15219955,0.005229205,0.043939167,0.395452505,0.219695836,0.439,-5.790389535,6.646920196,-0.763025545,2,4,6,Unknown,20.76,0,82.448,0,0.008,0.277,0.631,0.376,0.17,0.014,4.165,0.387808302
1.49,0.577,7.221,0.774,2.4,18-08-30_YC001,18-08-30_YC001_probe1,230,0,0,0,0,0,0.438955895,0.491443802,0.134176865,0.15643738,0.50486624,0.7,0.775510995,0.17,-0.033703636,0.012825761,0.018819979,0.050486624,0.454379618,0.252433121,0.505,-4.431274211,3.928129908,-0.722830365,3,,2,Complex Spike,23.78,0,2.608,2,0.129,0.74,0.657,0.904,0.623,0.061,0.78,0.272905597
1.44,0.596,7.201,0.793,2.356,18-08-30_YC001,18-08-30_YC001_probe1,232,0,0,0,0,0,0.111367646,0.239982896,0.433963861,0.531750258,0.24679033,1.06,0.571084312,0.47,-0.082035616,0.011759594,0.019578642,0.024679033,0.222111301,0.123395167,0.247,-1.459852344,1.672663933,-0.185352211,3,,2,Complex Spike,18.56,0,2.48,2,0.137,0.773,0.657,0.924,0.64,0.062,0.808,0.302081018
1.92,0.446,7.176,0.756,2.77,18-08-30_YC001,18-08-30_YC001_probe1,233,0,0,0,0,0,0.407696011,0.563610268,0.484665202,0.572048523,0.31079897,1.27,0.662676599,0.5,-0.07063722,0.046935767,0.0067973,0.031079897,0.279719076,0.155399486,0.311,-1.411629586,1.097332428,-0.60248773,3,,2,Complex Spike,20.05,0,3.257,1,0.109,0.72,0.649,0.876,0.595,0.057,0.871,0.246275984
1.47,0.595,7.23,0.742,2.161,18-08-30_YC001,18-08-30_YC001_probe1,234,0,0,0,0,0,0.243005113,0.476477937,0.534126815,0.617912523,0.15108879,1.23,0.889211171,0.47,-0.009255097,0.017204173,-0.0081077,0.015108879,0.13597991,0.075544395,0.151,-2.624295549,1.476476314,-0.166432351,3,,2,Complex Spike,25.5,0,2.4,2,0.147,0.697,0.614,0.859,0.584,0.056,0.695,0.945651396
1.08,0.786,7.111,0.782,1.889,18-08-30_YC001,18-08-30_YC001_probe1,235,0,0,0,0,0,0.347684235,0.527783021,0.44362482,0.5567839,0.23198946,1.23,0.616382558,0.47,-0.020614969,0.04171791,0.019721549,0.023198946,0.208790512,0.115994729,0.232,-2.885625897,1.644253036,-0.636097041,3,,2,Complex Spike,29.28,0,1.843,5,0.181,0.777,0.657,0.908,0.627,0.06,0.843,0.310692009
1.41,0.613,7.211,0.756,2.144,18-08-30_YC001,18-08-30_YC001_probe1,238,0,0,0,0,0,0.446364552,0.44806754,0.485479776,0.595348661,0.21377666,1.23,0.432695997,0.44,-0.018244991,0.041120995,-0.011127842,0.021377666,0.192398997,0.106888331,0.214,-2.090828631,1.855130404,-0.602663072,3,,2,Complex Spike,20.47,0,2.321,2,0.151,0.712,0.627,0.876,0.596,0.057,0.786,0.572142584
1.58,0.513,7.111,0.797,2.637,18-08-30_YC001,18-08-30_YC001_probe1,239,0,0,0,0,0,0.248038911,0.452446569,0.427282103,0.538623752,0.25073117,1.1,0.713938565,0.47,-0.020961419,0.012346014,0.020277703,0.025073117,0.225658053,0.125365585,0.251,-1.818226271,1.819070468,-0.377469994,3,,2,Complex Spike,16.68,0,2.905,1,0.114,0.762,0.71,0.936,0.651,0.064,0.956,0.35313304
0.72,0.697,4.75,0.772,3.562,18-08-30_YC001,18-08-30_YC001_probe1,24,0,0,0,0,0,0.129194157,0.177203985,0.170210055,0.225860928,0.7113164,0.43,0.305648564,0.23,-0.033718247,0.03556582,-0.004988533,0.071131641,0.640184766,0.355658203,0.711,-5.016325337,4.65178972,-1.773342211,3,,2,Complex Spike,13.77,0,5.182,0,0.067,0.614,1.094,0.995,0.727,0.085,1.439,0.217755754
