"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC002_probe1","18-08-30_YC002",147,21.15,18.33,0,47.446,0.029,0,0.007,6.298,0.687,0.612,1.056,0.795,0.521,23.013,0.051,2.166,0.039156495,0.099510771,0.070870371,0.080701183,0.20754236,0.2,0.135120203,0.07,-0.010498811,0.008989855,-0.010354479,0.020754236,0.186788124,0.10377118,0.208,-16.20493741,10.62657852,-0.725660871,0.083619356,2,1,3,"Potentially MLI",0,0,0,0,0,5,"MLI",3,5
"18-08-30_YC002_probe1","18-08-30_YC002",157,7.81,14.34,0,17.106,0.08,0,0.021,6.145,0.758,0.715,1.056,0.885,0.606,10.724,0.059,2.312,0.050337683,0.087827256,0.080368307,0.099038452,0.50789833,0.2,0.211893202,0.13,-0.03896092,0.031250466,-0.017306579,0.050789833,0.457108498,0.253949165,0.508,-6.817193689,9.503476826,-1.522662111,0.157108232,2,1,3,"Potentially MLI",0,0,0,0,0,1,"MLI",3,6
"18-08-30_YC002_probe1","18-08-30_YC002",158,10.73,13.71,0,46.683,0.045,0,0.005,6.361,0.923,0.905,1.109,1.185,0.865,33.882,0.1,2.063,0.07,0.078812015,0.07,0.07,0.25473616,0.14,0.1,0.07,-0.000571521,0.010234176,-0.052245556,0.025473616,0.22926254,0.127368078,0.255,-6.320265381,5.664729553,-0.367287039,0.318622647,2,3,5,"Go + MF",0,0,0,0,0,5,"MLI",3,4
"18-08-30_YC002_probe1","18-08-30_YC002",16,31.52,13.64,0,63.243,0.023,0,0.005,6.71,0.778,0.735,0.863,0.919,0.636,41.08,0.064,1.62,0.048733273,0.083635715,0.089066301,0.105190323,0.44094288,0.2,0.177934678,0.13,-0.011650928,-0.007845596,-0.013157574,0.044094288,0.396848595,0.220471442,0.441,-7.263432832,8.989783505,-1.613886088,0.108797094,2,1,3,"Potentially MLI",0,0,0,0,0,5,"MLI",3,3
"18-08-30_YC002_probe1","18-08-30_YC002",163,7.3,13.67,0,13.665,0.134,0,0.02,6.517,0.879,0.852,1.034,1.091,0.792,10.124,0.086,1.748,0.05,0.035654966,0.15,0.15,0.5265954,0.1,0.07,0.17,0.027040642,0.001275372,0,0.052659541,0.473935872,0.263297707,0.527,-17.44989355,4.56866301,-1.265738568,0.082700876,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,2
"18-08-30_YC002_probe1","18-08-30_YC002",169,11.81,13.94,0,32.083,0.063,0,0.008,6.626,0.834,0.79,0.901,1.031,0.734,23.021,0.08,1.731,0.05,0.024708863,0.05,0.05,0.57800674,0.1,0.03,0.14,0.029410778,-0.018079603,0,0.057800674,0.52020607,0.289003372,0.578,-21.79290203,9.792816018,-1.678796723,0.171602313,2,1,3,"Potentially MLI",0,0,0,0,0,5,"MLI",3,4
"18-08-30_YC002_probe1","18-08-30_YC002",173,7.98,23.31,0,10.387,0.1,0,0.053,6.478,0.48,0.417,0.62,0.512,0.262,3.431,0.022,1.948,0.158523263,0.186093686,0.134710435,0.150368399,0.31820956,0.4,0.430137036,0.13,-0.035372093,0.12176155,-0.017972985,0.031820956,0.286388603,0.159104779,0.318,-7.253761981,3.236144898,-0.40438608,0.317370189,1,NA,1,"Purkinke",0,0,0,0,0,1,"MLI",3,2
"18-08-30_YC002_probe1","18-08-30_YC002",180,3.52,15.51,0,6.245,0.224,1,0.058,6.927,0.713,0.675,0.739,0.808,0.529,4.184,0.049,1.257,0.127839415,0.160449547,0.273151154,0.304374023,0.57353985,0.5,0.331584141,0.2,-0.037896343,0.07394336,0.009303337,0.057353985,0.516185868,0.286769927,0.574,-7.485459077,3.197248816,-1.283195568,0.229515653,2,2,4,"Granule",0,0,0,0,0,1,"MLI",3,2
"18-08-30_YC002_probe1","18-08-30_YC002",22,13.76,14.04,0,24.112,0.051,0,0.017,6.56,0.511,0.432,0.865,0.554,0.303,7.929,0.026,1.945,0.035224569,0.07874847,0.055088811,0.063621902,0.31098017,0.16,0.122665873,0.07,-0.015023242,0.013348238,-0.006748606,0.031098017,0.279882154,0.155490085,0.311,-17.80010373,14.54676737,-1.01195827,0.087494644,1,NA,1,"Purkinke",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC002_probe1","18-08-30_YC002",26,27.72,13.66,0,35.894,0.031,0,0.014,6.977,0.532,0.476,0.564,0.572,0.312,14.185,0.026,1.327,0.05,0.021195384,0.1,0.1,0.36380884,0.1,0.07,0.1,0.011476012,-0.034162417,0,0.036380884,0.327427956,0.18190442,0.364,-18.12061606,8.787395525,-0.703193462,0.181465939,1,NA,1,"Purkinke",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC002_probe1","18-08-30_YC002",330,4.78,14.37,0,9.085,0.151,0,0.039,6.796,0.772,0.749,0.82,0.9,0.619,6.325,0.06,1.463,0.103256242,0.194546228,0.12446519,0.171587229,0.57456666,0.4,0.3756389,0.2,-0.041277517,0.042610284,0.002597546,0.057456666,0.517109996,0.287283331,0.575,-6.182010883,4.938986144,-1.504113944,0.20175182,2,1,3,"Potentially MLI",0,0,0,0,0,1,"MLI",3,2
