"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo"
"18-12-17_YC009_probe1","18-12-17_YC009",441,86.12,18.43,0.01,97.619,0.011,0,0.006,7.048,0.359,0.304,0.368,0.373,0.152,20.437,0.012,1.037,0.039872194,0.092501295,0.089816913,0.120380744,0.288134,0.23,0.373759923,0.13,-0.006416419,0.0965438,-0.001688785,0.028813401,0.259320608,0.144067004,0.288,-7.435267165,7.092725479,-0.555127369,0.380986589,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC009_probe1","18-12-17_YC009",473,112.7,26.56,0,135.912,0.007,0,0.005,6.385,0.317,0.236,0.54,0.33,0.133,19.898,0.011,2.175,0.079183954,0.148226508,0.096287218,0.126757869,0.5131725,0.3,0.39103019,0.23,-0.07346608,0.15323912,0.02169257,0.051317251,0.461855257,0.256586254,0.513,-2.954151713,6.284407711,-1.007695203,0.373459373,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-12-17_YC009_probe1","18-12-17_YC009",564,78.13,18.53,0,113.571,0.009,0,0.004,6.406,0.478,0.378,0.753,0.518,0.285,31.543,0.025,2.091,0.096746741,0.15443565,0.185884258,0.244525724,0.3801799,0.43,0.401831259,0.26,-0.11592139,0.12735005,0.001890829,0.038017991,0.342161921,0.190089956,0.38,-5.770644379,3.889124545,-0.720828918,0.39503545,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC009_probe1","18-12-17_YC009",633,154.77,21.88,0,190.686,0.005,0,0.003,5.425,0.301,0.182,0.678,0.318,0.14,26.054,0.012,3.735,0.063215961,0.133546278,0.104911547,0.13798432,0.32902327,0.3,0.443511637,0.2,-0.058413256,0.11595505,0.02371227,0.032902327,0.296120945,0.164511636,0.329,-5.867214552,5.566436824,-0.541306418,0.38785206,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-12-17_YC010_probe1","18-12-17_YC010",117,100.62,19.22,0,141.173,0.008,0,0.003,6.75,0.512,0.46,0.645,0.549,0.291,49.37,0.024,1.578,0.056466438,0.110278141,0.081296929,0.102623166,0.59296924,0.23,0.283939263,0.14,-0.017742438,0.039781027,0.017048476,0.059296924,0.533672315,0.296484619,0.593,-6.472644756,8.659889186,-1.583971172,0.190806587,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC010_probe1","18-12-17_YC010",121,75.24,14.43,0,99.603,0.011,0,0.005,6.986,0.517,0.464,0.563,0.554,0.294,37.563,0.025,1.302,0.047149896,0.095338338,0.070555054,0.088169766,0.54359996,0.2,0.244195731,0.13,-0.033491436,0.05311686,0.036977038,0.054359996,0.489239967,0.271799982,0.544,-8.043497374,9.742372107,-1.381960095,0.212721898,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC010_probe1","18-12-17_YC010",133,107.42,11.46,0.01,130.496,0.008,0,0.004,6.99,0.45,0.4,0.467,0.473,0.225,39.823,0.018,1.216,0.053516073,0.111564437,0.075254966,0.107924241,0.52056575,0.24,0.316691103,0.13,-0.024781248,0.0768783,0.004390908,0.052056575,0.468509173,0.260282874,0.521,-9.030469376,8.317424667,-1.268839275,0.234983588,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC010_probe1","18-12-17_YC010",140,47.36,13.23,0.02,51.467,0.024,0,0.009,6.692,0.673,0.634,0.75,0.757,0.486,26.865,0.044,1.532,0.058393334,0.103069571,0.067726149,0.08027072,0.63322437,0.2,0.258564247,0.1,-0.07131449,0.103736185,0.029741877,0.063322437,0.569901931,0.316612184,0.633,-7.020805836,9.929342139,-1.698854367,0.213914329,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC010_probe1","18-12-17_YC010",152,51.6,11.7,0,68.903,0.015,0,0.008,6.657,0.542,0.478,0.629,0.586,0.327,25.668,0.028,1.725,0.05,0.025344471,0.05,0.05,0.43052763,0.1,0.03,0.06,0.012925111,-0.06291314,0,0.043052763,0.387474865,0.215263814,0.431,-18.27018712,9.877558915,-1.505238944,1.086247531,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-12-17_YC010_probe1","18-12-17_YC010",153,132.8,11.52,0,154.257,0.006,0,0.004,5.681,0.367,0.291,0.501,0.384,0.168,30.35,0.013,2.982,0.1,0.108834103,0.043432888,0.084049247,0.62392706,0.2,0.14,0.1,0.02496958,-0.046817068,0.013618983,0.062392706,0.561534351,0.311963528,0.624,-9.46350652,9.869208732,-0.826685021,-34.40294491,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
